,target-target-EEG-all,target-nontarget-EEG-all,target-target-EEG-all_tp2,target-nontarget-EEG-all_tp2,target-target-EEG-large,target-nontarget-EEG-large,target-target-EEG-large_tp2,target-nontarget-EEG-large_tp2,target-target-EEG-small,target-nontarget-EEG-small,target-target-EEG-small_tp2,target-nontarget-EEG-small_tp2
A,0.949925485,0.788182884,0.30719428,0.241056729,0.956370611,0.758580313,0.301741723,0.460067453,0.895472121,0.540499263,0.100817882,0.410301446
B,-0.432693205,0.685639999,0.27370808,0.14664469,-0.635080302,0.64915046,0.260456449,0.365810761,-0.657701655,0.125375534,-0.020439971,0.398846889
P5,0.94214337,0.487354138,0.41001845,0.398164091,0.94479713,0.511816046,0.210443402,0.492065144,0.924199639,0.558598447,0.264993822,0.593254599
P4,0.955083968,0.613060189,0.605303061,0.597521346,0.948550354,0.602826213,0.494806609,0.657653556,0.89327882,0.532141792,0.303522895,0.765435111
Cp2,0.905284078,0.157620897,0.481048795,0.026439739,0.861592614,-0.025577913,0.190420765,0.168998992,0.580179307,-0.277916583,0.203813491,0.288300226
Cp1,0.888524572,-0.094186529,0.46044613,0.063835366,0.835596022,-0.287682308,0.149028239,0.214092398,0.456854539,-0.503821855,0.215677272,0.339374051
C5,0.203101713,0.097227204,0.429208328,-0.043996384,-0.298668516,0.479869741,0.194939148,-0.009861937,-0.412222192,0.456076657,0.284707954,0.246299973
E,0.563074023,-0.036816232,0.36488537,-0.304805452,0.151914718,0.276644441,-0.05704369,-0.225479651,-0.264453858,0.377138167,0.195370819,-0.026418589
F,0.708427712,-0.015580763,0.439201617,-0.145896676,0.509466065,0.209327101,0.07252155,-0.073301839,0.093582443,0.275078445,0.401154356,0.075423303
C4,0.63957815,0.645827109,0.473278732,0.750525226,0.378666708,0.576570087,0.184558946,0.69315889,0.032221972,0.360659911,0.613503865,0.619305259
F5,0.346665659,0.858669769,0.037700368,0.360298646,0.593167505,0.961520766,-0.194713755,0.089506444,0.577807641,0.95628296,-0.321469614,-0.025292723
F4,0.126457367,0.774471011,0.191338084,0.768378343,0.301493148,0.88604155,-0.145130303,0.520886381,0.105399572,0.947496021,0.309959165,-0.24911369
Fz,0.241020903,0.829229893,0.051918318,-0.122293898,0.135244907,0.906875917,-0.416824947,-0.167453958,-0.161632943,0.927022847,-0.318755608,-0.012536315
Afz,0.27042973,0.835868355,-0.220030942,0.712297734,0.287429635,0.910439111,-0.264673644,0.572591685,-0.061557367,0.93049149,-0.000768935,-0.121381716
Fp2,0.147707867,0.801940786,0.273054839,0.756756251,0.490882661,0.819692574,0.346565273,0.448785807,0.768863601,0.887233083,0.034456057,-0.736346563
Fp1,0.163593923,0.832850688,-0.032521576,0.679512007,0.506626253,0.853556565,-0.016286031,0.279056705,0.802237317,0.886302835,-0.232201772,-0.679365961
